date,google_spend,google_impressions,google_clicks,meta_spend,meta_impressions,meta_clicks,meta_reach,meta_frequency,tiktok_spend,tiktok_impressions,tiktok_clicks,tiktok_conversion,tiktok_reach,dv360_spend,dv360_impressions,dv360_clicks,x1_impressions,x1_clicks,x1_spend,Quantity,dv_360_x1_impressions,dv_360_x1_clicks,dv_360_x1_spend,Total_Revenue,total_discount,Service Fee,competitor_trend,CCI,holidays,all_promo,seller_discount
2024-09-23,4223.42,92468,7520,2700.38,2434973,61093,2004888,585.20998,0,0,0,0,0,45273.36034,6697079,11217,0,0,0,295,6697079,11217,45273.36034,1279170,1211847,46565,90,56.5,0,0,112655
2024-09-30,3990.97,92417,7428,3936.08,3217889,59935,2486236,1078.849767,0,0,0,0,0,46603.97283,6754358,12009,0,0,0,184,6754358,12009,46603.97283,757284,684022,26629,82,56.5,0,0,77255
2024-10-07,5221.966601,520795,7832,2843,2758286,59272,2199235,670.345979,0,0,0,0,0,22436.45576,3731807,5722,0,0,0,923,3731807,5722,22436.45576,4267146,3050149,150129,90,55.3,0,1,520676
2024-10-14,5155.784097,597768,8031,6276.67,4325570,85055,3163550,1014.875011,0,0,0,0,0,22435.90856,3616388,5369,0,0,0,238,3616388,5369,22435.90856,1015942,791095,36735,90,55.3,0,0,115442
2024-10-21,5927.526466,3069130,88787,3052.98,3543547,61738,2930391,796.437582,0,0,0,0,0,22807.99642,3598335,5707,0,0,0,292,3598335,5707,22807.99642,1095598,1414362,39381,87,55.3,0,0,133899
2024-10-28,6076.350287,4557585,133034,3219.49,3238241,60539,2642706,834.829943,0,0,0,0,0,22997.0725,3477033,5851,0,0,0,128,3477033,5851,22997.0725,564789,479195,20141,82,55.3,0,0,55851
2024-11-04,6142.617287,4538934,128676,3226.8,2541978,49853,1954709,948.763852,0,0,0,0,0,23560.84188,3530053,6136,0,0,0,173,3530053,6136,23560.84188,583304,490602,20922,80,56,0,0,57780
2024-11-11,6975.511924,5534445,119868,8578.2,4209306,93007,2923209,1295.465969,754,426966,6789,1647,361401,24335.65735,3473497,5225,0,0,0,1049,3473497,5225,24335.65735,4147741,2662040,156126,87,56,0,1,590313
2024-11-18,6957.611794,6094186,132388,5380.34,3461035,66626,2660716,1261.84871,538.71,176440,3757,966,147805,24084.5778,3651567,4937,0,0,0,129,3651567,4937,24084.5778,537580,382979,18226,80,56,0,0,67662
2024-11-25,6802.955583,5476949,127295,4744.75,3330811,66957,2610332,1031.408517,818.69,199016,4314,688,157844,23993.35986,3195366,3484,0,0,0,243,3195366,3484,23993.35986,1022537,827818,37313,77,56,0,0,75358
2024-12-02,6159.831175,4125821,92538,4299.15,2830499,55323,2204971,1099.697896,1945.06,606216,16037,1984,505876,23659.9977,3259273,3409,0,0,0,187,3259273,3409,23659.9977,667357,414552,24285,79,56.9,0,0,84160
2024-12-09,6079.871175,3760806,118098,4786.06,3258445,74173,2407127,1005.379409,1412.59,2013651,43975,2744,1675797,23105.02759,3617994,3804,0,0,0,1195,3617994,3804,23105.02759,4957460,2956145,174178,100,56.9,0,1,765862
